Cell	cell_type
N4_bcAUNE	Neutrophils1
N4_bcAUOD	Erythrocyte
N4_bcAUSG	Erythrocyte
N4_bcAUSZ	Erythrocyte
N4_bcAUTX	Recruited_macrophage
N4_bcAUVU	Erythrocyte
N4_bcAUXX	Erythrocyte
N4_bcAUXY	Erythrocyte
N4_bcAVGS	Erythrocyte
N4_bcAVIR	Erythrocyte
N4_bcAVJZ	Erythrocyte
N4_bcAVKQ	Erythrocyte
N4_bcAVLK	Erythrocyte
N4_bcAVOC	Neutrophils1
N4_bcAVON	Neutrophils1
N4_bcAVPG	Neutrophils1
N4_bcAVTQ	Neutrophils1
N4_bcAVUA	FLB1
N4_bcAWGC	Erythrocyte
N4_bcAWJK	Erythrocyte
N4_bcAWMP	Erythrocyte
N4_bcAWMU	Erythrocyte
N4_bcAWQJ	Erythrocyte
N4_bcAWRH	Erythrocyte
N4_bcAWTS	Erythrocyte
N4_bcAWUK	Endo
N4_bcAWUY	IW3
N4_bcAWZW	Erythrocyte
N4_bcAXBP	Erythrocyte
N4_bcAXCL	IW1
N4_bcAXDK	Erythrocyte
N4_bcAXEV	Erythrocyte
N4_bcAXJA	IW1
N4_bcAXJH	FLB1
N4_bcAXLU	SSC
N4_bcAXMK	PhagNeutrophils
N4_bcAXMN	Erythrocyte
N4_bcAXMW	Erythrocyte
N4_bcAXNK	Erythrocyte
N4_bcAXOP	IW1
N4_bcAXUB	Erythrocyte
N4_bcAXVM	SSC
N4_bcAXYD	Erythrocyte
N4_bcAYCJ	Recruited_macrophage
N4_bcAYET	IW1
N4_bcAZBY	Erythrocyte
N4_bcAZCU	FLB1
N4_bcAZFE	Neutrophils1
N4_bcAZFZ	Neutrophils1
N4_bcAZGB	Early_B
N4_bcAZGQ	Erythrocyte
N4_bcAZHL	Neutrophils1
N4_bcAZIJ	FLB1
N4_bcAZJF	Tcells
N4_bcAZJP	Erythrocyte
N4_bcAZMA	Erythrocyte
N4_bcAZML	Erythrocyte
N4_bcAZSU	Erythrocyte
N4_bcAZUD	Recruited_macrophage
N4_bcAZUI	Neutrophils1
N4_bcAZUO	IW3
N4_bcAZVL	SSC
N4_bcAZVR	Erythrocyte
N4_bcAZZD	FLB1
N4_bcAZZM	Bcell
N4_bcAZZR	IW1
N4_bcBACY	Recruited_macrophage
N4_bcBADD	DC
N4_bcBADO	Erythrocyte
N4_bcBAGF	Endo
N4_bcBAHH	Erythrocyte
N4_bcBAKJ	Recruited_macrophage
N4_bcBAKV	Erythrocyte
N4_bcBAMN	Erythrocyte
N4_bcBAMS	Erythrocyte
N4_bcBARI	Erythrocyte
N4_bcBARJ	Erythrocyte
N4_bcBARQ	Recruited_macrophage
N4_bcBARR	Neutrophils1
N4_bcBARV	BasalWE
N4_bcBARY	FLB2
N4_bcBAVV	IW1
N4_bcBAWV	Erythrocyte
N4_bcBBCD	Tcells
N4_bcBBDN	Early_B
N4_bcBBDX	FLB2
N4_bcBBDZ	Erythrocyte
N4_bcBBFE	IW3
N4_bcBBIT	IW3
N4_bcBBJB	Recruited_macrophage
N4_bcBBJI	Neutrophils1
N4_bcBBMR	Erythrocyte
N4_bcBBOQ	IW1
N4_bcBBPQ	Erythrocyte
N4_bcBBQG	IW3
N4_bcBBQJ	Erythrocyte
N4_bcBBQN	Neutrophils1
N4_bcBBSE	Neutrophils1
N4_bcBBSW	Recruited_macrophage
N4_bcBBTO	Recruited_macrophage
N4_bcBBWE	Erythrocyte
N4_bcBBYV	SSC
N4_bcBCBG	Erythrocyte
N4_bcBCDP	Erythrocyte
N4_bcBCIV	Recruited_macrophage
N4_bcBCKB	Leydig
N4_bcBCOM	Erythrocyte
N4_bcBCQB	IW1
N4_bcBCRR	IW3
N4_bcBCTD	IW1
N4_bcBCVE	SSC
N4_bcBCVP	Erythrocyte
N4_bcBCWT	Erythrocyte
N4_bcBDDC	Leydig
N4_bcBDDO	Erythrocyte
N4_bcBDNU	Neutrophils1
N4_bcBDNZ	IW1
N4_bcBDRA	Early_B
N4_bcBDSA	Schwann
N4_bcBDTF	Recruited_macrophage
N4_bcBDVR	DC
N4_bcBDWH	DC
N4_bcBEAI	Recruited_macrophage
N4_bcBEEW	Neutrophils1
N4_bcBEHM	Tcells
N4_bcBEJZ	IW3
N4_bcBEOQ	Erythrocyte
N4_bcBEPY	SSC
N4_bcBETX	Erythrocyte
N4_bcBEWN	Erythrocyte
N4_bcBEXP	Recruited_macrophage
N4_bcBEYW	Recruited_macrophage
N4_bcBEZG	FLB2
N4_bcBEZY	Tcells
N4_bcBFKN	Erythrocyte
N4_bcBFVE	Erythrocyte
N4_bcBFVH	Neutrophils1
N4_bcBFVS	Recruited_macrophage
N4_bcBFXY	Erythrocyte
N4_bcBFZL	Early_B
N4_bcBGAC	Early_B
N4_bcBGHZ	Schwann
N4_bcBGND	Neutrophils1
N4_bcBGOA	Recruited_macrophage
N4_bcBGOQ	Neutrophils1
N4_bcBGTV	Erythrocyte
N4_bcBGUV	Neutrophils1
N4_bcBGWG	Tcells
N4_bcBGWU	Recruited_macrophage
N4_bcBGXZ	IW1
N4_bcBHBM	Erythrocyte
N4_bcBHCK	Erythrocyte
N4_bcBHEF	FLB2
N4_bcBHEX	Erythrocyte
N4_bcBHFQ	Erythrocyte
N4_bcBHKB	Neutrophils1
N4_bcBHLB	Erythrocyte
N4_bcBHMB	FLB2
N4_bcBHMP	Tcells
N4_bcBHOE	IW1
N4_bcBHUJ	FLB1
N4_bcBHWJ	Erythrocyte
N4_bcBHXT	FLB2
N4_bcBHYB	Erythrocyte
N4_bcBICP	Neutrophils1
N4_bcBIGN	SSC
N4_bcBIHK	Recruited_macrophage
N4_bcBILR	Neutrophils1
N4_bcBIMW	FLB2
N4_bcBIOJ	Neutrophils1
N4_bcBION	Tcells
N4_bcBIPS	Schwann
N4_bcBIUB	Neutrophils1
N4_bcBIXB	FLB2
N4_bcBIZY	FLB1
N4_bcBJBI	Erythrocyte
N4_bcBJCU	IW1
N4_bcBJFL	Erythrocyte
N4_bcBJGM	Erythrocyte
N4_bcBJJF	Erythrocyte
N4_bcBJJQ	Erythrocyte
N4_bcBJKA	Erythrocyte
N4_bcBJKQ	Neutrophils1
N4_bcBJLF	Erythrocyte
N4_bcBJWF	Erythrocyte
N4_bcBKBH	IW3
N4_bcBKCP	Erythrocyte
N4_bcBKCW	Neutrophils1
N4_bcBKDJ	IW1
N4_bcBKED	IW1
N4_bcBKEZ	Recruited_macrophage
N4_bcBKIC	Erythrocyte
N4_bcBKOQ	IW1
N4_bcBKQK	IW3
N4_bcBKQX	Tcells
N4_bcBKUT	IW3
N4_bcBKWF	IW1
N4_bcBKZQ	Erythrocyte
N4_bcBLCA	Erythrocyte
N4_bcBLIN	Neutrophils1
N4_bcBLIV	Endo
N4_bcBLJD	Schwann
N4_bcBLJN	IW3
N4_bcBLJW	FLB1
N4_bcBLMT	IW1
N4_bcBLMY	Erythrocyte
N4_bcBLPL	Neutrophils1
N4_bcBLQR	Neutrophils1
N4_bcBLQZ	IW1
N4_bcBLRI	Leydig
N4_bcBLST	Recruited_macrophage
N4_bcBLTD	Erythrocyte
N4_bcBLTM	Neutrophils2
N4_bcBLUG	Recruited_macrophage
N4_bcBLUH	Recruited_macrophage
N4_bcBLVJ	IW3
N4_bcBLWP	DC
N4_bcBLZR	Erythrocyte
N4_bcBMFA	FLB2
N4_bcBMFE	IW1
N4_bcBMOW	IW1
N4_bcBMPA	IW1
N4_bcBMPR	FLB2
N4_bcBNAK	Neutrophils1
N4_bcBNBD	SSC
N4_bcBNGE	Recruited_macrophage
N4_bcBNHT	Erythrocyte
N4_bcBNKL	SSC
N4_bcBNLF	Neutrophils1
N4_bcBNMP	Erythrocyte
N4_bcBNNL	Erythrocyte
N4_bcBNOB	IW1
N4_bcBNQW	Erythrocyte
N4_bcBNRO	Neutrophils1
N4_bcBNTY	Erythrocyte
N4_bcBNUS	FLB2
N4_bcBNXP	Neutrophils1
N4_bcBNXR	Neutrophils1
N4_bcBNZC	IW3
N4_bcBNZG	Erythrocyte
N4_bcBOAL	Leydig
N4_bcBOAZ	Erythrocyte
N4_bcBODB	Neutrophils1
N4_bcBODW	Erythrocyte
N4_bcBOGW	Endo
N4_bcBONO	Erythrocyte
N4_bcBONR	Erythrocyte
N4_bcBOPD	Erythrocyte
N4_bcBOSM	Erythrocyte
N4_bcBOSV	Recruited_macrophage
N4_bcBOTD	Neutrophils1
N4_bcBOUU	Erythrocyte
