cell	Cell_type
i3_intact_S1_bcBWDA	Intermediate_epidermis
i3_intact_S1_bcBWIC	Tcells
i3_intact_S1_bcBWRP	Intermediate_epidermis
i3_intact_S1_bcBWSK	Early_B
i3_intact_S1_bcBWZV	Intermediate_epidermis
i3_intact_S1_bcBXBI	Intermediate_epidermis
i3_intact_S1_bcBXCS	Intermediate_epidermis
i3_intact_S1_bcBXDC	Tcells
i3_intact_S1_bcBXHJ	SSCs
i3_intact_S1_bcBYAY	Proliferating_Epidermis
i3_intact_S1_bcBYKJ	Tcells
i3_intact_S1_bcBYLF	Early_B
i3_intact_S1_bcBYOR	Fibroblast
i3_intact_S1_bcBYRN	SSCs
i3_intact_S1_bcBYTA	Intermediate_epidermis
i3_intact_S1_bcBYUI	Proliferating_Epidermis
i3_intact_S1_bcBZKV	Intermediate_epidermis
i3_intact_S1_bcBZMX	Intermediate_epidermis
i3_intact_S1_bcBZTE	Proliferating_Epidermis
i3_intact_S1_bcBZWD	Erythrocyte
i3_intact_S1_bcCAAX	Intermediate_epidermis
i3_intact_S1_bcCAFI	Intermediate_epidermis
i3_intact_S1_bcCAIZ	Intermediate_epidermis
i3_intact_S1_bcCASW	BasalEpidermis
i3_intact_S1_bcCAVG	Intermediate_epidermis
i3_intact_S1_bcCAVU	Intermediate_epidermis
i3_intact_S1_bcCAYB	SSCs
i3_intact_S1_bcCBEM	Intermediate_epidermis
i3_intact_S1_bcCBFA	Intermediate_epidermis
i3_intact_S1_bcCBYD	Intermediate_epidermis
i3_intact_S1_bcCCFZ	Intermediate_epidermis
i3_intact_S1_bcCCOA	Intermediate_epidermis
i3_intact_S1_bcCCOC	Proliferating_Epidermis
i3_intact_S1_bcCDEH	Intermediate_epidermis
i3_intact_S1_bcCDNH	SSCs
i3_intact_S1_bcCDQC	Erythrocyte
i3_intact_S1_bcCDSZ	Intermediate_epidermis
i3_intact_S1_bcCDVN	Tcells
i3_intact_S1_bcCDYK	Ionocytes
i3_intact_S1_bcCEBQ	Erythrocyte
i3_intact_S1_bcCEFG	Proliferating_Epidermis
i3_intact_S1_bcCELA	Tcells
i3_intact_S1_bcCEQS	Proliferating_Epidermis
i3_intact_S1_bcCETL	Intermediate_epidermis
i3_intact_S1_bcCETP	Intermediate_epidermis
i3_intact_S1_bcCFIQ	Intermediate_epidermis
i3_intact_S1_bcCFML	Ionocytes
i3_intact_S1_bcCFTX	Intermediate_epidermis
i3_intact_S1_bcCFYC	Erythrocyte
i3_intact_S1_bcCGAR	Erythrocyte
i3_intact_S1_bcCGHG	Intermediate_epidermis
i3_intact_S1_bcCGON	Intermediate_epidermis
i3_intact_S1_bcCGRH	Intermediate_epidermis
i3_intact_S1_bcCHFK	Myeloid
i3_intact_S1_bcCHSS	Proliferating_Epidermis
i3_intact_S1_bcCHUN	Myeloid
i3_intact_S1_bcCHYO	Intermediate_epidermis
i3_intact_S1_bcCIJD	Intermediate_epidermis
i3_intact_S1_bcCIVC	Proliferating_Epidermis
i3_intact_S1_bcCIXV	SSCs
i3_intact_S1_bcCJMM	Proliferating_Epidermis
i3_intact_S1_bcCJTC	Proliferating_Epidermis
i3_intact_S1_bcCJVC	Intermediate_epidermis
i3_intact_S1_bcCJVX	Intermediate_epidermis
i3_intact_S1_bcCKMK	Intermediate_epidermis
i3_intact_S1_bcCKPC	Proliferating_Epidermis
i3_intact_S1_bcCKQW	Intermediate_epidermis
i3_intact_S1_bcCLAR	Intermediate_epidermis
i3_intact_S1_bcCLFQ	Intermediate_epidermis
i3_intact_S1_bcCLFX	Epidermal_Langerhans
i3_intact_S1_bcCLLL	Erythrocyte
i3_intact_S1_bcCLRU	Early_B
i3_intact_S1_bcCLSQ	Intermediate_epidermis
i3_intact_S1_bcCLTH	Intermediate_epidermis
i3_intact_S1_bcCMTS	Erythrocyte
i3_intact_S1_bcCMWB	Erythrocyte
