cell	cell_type
S3_bcCIVA	Macrophage
S3_bcCIVJ	Macrophage
S3_bcCIWM	FLB4
S3_bcCJAE	Macrophage
S3_bcCJBE	FLB4
S3_bcCJEW	Erythrocyte1
S3_bcCJGU	Macrophage
S3_bcCJJU	FLB5
S3_bcCJMP	FLB4
S3_bcCJND	FLB3
S3_bcCJTM	FLB4
S3_bcCJTO	FLB4
S3_bcCJVS	FLB4
S3_bcCJWS	MyogenicBlastema
S3_bcCKFJ	Macrophage
S3_bcCKFN	Erythrocyte1
S3_bcCKFY	FLB5
S3_bcCKIB	FLB5
S3_bcCKKF	Macrophage
S3_bcCKKJ	FLB5
S3_bcCKKP	FLB4
S3_bcCKRA	FLB5
S3_bcCKRL	FLB4
S3_bcCKVL	Macrophage
S3_bcCKXC	EarlyB
S3_bcCKZQ	FLB4
S3_bcCLFJ	Tcell
S3_bcCLHF	Erythrocyte1
S3_bcCLKD	FLB5
S3_bcCLKR	BasalWE
S3_bcCLPO	Macrophage
S3_bcCLVI	Macrophage
S3_bcCLVL	Macrophage
S3_bcCLXL	Macrophage
S3_bcCLXW	BasalWE
S3_bcCLYZ	Macrophage
S3_bcCMAQ	FLB5
S3_bcCMAV	FLB4
S3_bcCMLS	Macrophage
S3_bcCMRA	Erythrocyte1
S3_bcCMUG	EarlyB
S3_bcCMWZ	Erythrocyte1
S3_bcCNAE	Macrophage
S3_bcCNOC	FLB4
S3_bcCNXC	Erythrocyte1
S3_bcCOLK	Macrophage
S3_bcCONO	FLB4
S3_bcCOON	Erythrocyte2
S3_bcCOUK	Macrophage
S3_bcCOVI	FLB3
S3_bcCPCU	Macrophage
S3_bcCPFX	FLB5
S3_bcCPOF	BasalWE
S3_bcCPPP	FLB5
S3_bcCPSK	Erythrocyte1
S3_bcCPSR	FLB3
S3_bcCQIX	Macrophage
S3_bcCQPI	FLB4
S3_bcCQPP	Erythrocyte1
S3_bcCQRA	MyogenicBlastema
S3_bcCQRH	BasalWE
S3_bcCQRJ	FLB5
S3_bcCQWQ	Tcell
S3_bcCQZG	FLB5
S3_bcCRBU	Erythrocyte1
S3_bcCRIU	FLB4
S3_bcCRWU	FLB4
S3_bcCRXP	FLB5
S3_bcCSAV	Macrophage
S3_bcCSBR	EarlyB
S3_bcCSCM	Macrophage
S3_bcCSDO	Macrophage
S3_bcCSFQ	Tcell
S3_bcCSHP	Macrophage
S3_bcCSHT	FLB4
S3_bcCSIA	Macrophage
S3_bcCSJS	FLB5
S3_bcCSRB	FLB4
S3_bcCSTT	FLB4
S3_bcCSXC	Erythrocyte1
S3_bcCSYF	Erythrocyte1
S3_bcCTBD	FLB5
S3_bcCTCL	Macrophage
S3_bcCTMZ	Macrophage
S3_bcCTWA	FLB4
S3_bcCTWE	FLB4
S3_bcCTXE	Erythrocyte1
S3_bcCTZI	FLB4
S3_bcCUCD	Erythrocyte1
S3_bcCUME	BasalWE
S3_bcCUOX	Macrophage
S3_bcCUTO	FLB3
S3_bcCUWW	Macrophage
S3_bcCVAN	FLB5
S3_bcCVGO	FLB4
S3_bcCVIM	EarlyB
S3_bcCVIZ	Erythrocyte1
S3_bcCVKO	MyogenicBlastema
S3_bcCVLX	Macrophage
S3_bcCVMT	FLB4
S3_bcCVRM	FLB4
S3_bcCVZP	Tcell
S3_bcCWEX	FLB4
S3_bcCWKG	Macrophage
S3_bcCWUA	FLB4
S3_bcCWXS	FLB5
S3_bcCXAH	Erythrocyte1
S3_bcCXEH	Tcell
S3_bcCXJN	FLB4
S3_bcCXLE	EarlyB
S3_bcCXOD	FLB5
S3_bcCXQS	FLB4
S3_bcCXVC	FLB5
S3_bcCYAM	Macrophage
S3_bcCYBE	EarlyB
S3_bcCYDP	Erythrocyte1
S3_bcCYKJ	Macrophage
S3_bcCYNT	FLB4
S3_bcCYVE	FLB4
S3_bcCYYA	FLB5
S3_bcCZBF	Tcell
S3_bcCZGN	Macrophage
S3_bcCZID	Erythrocyte1
S3_bcCZMC	Erythrocyte1
S3_bcCZMD	Erythrocyte1
S3_bcCZNI	Erythrocyte1
S3_bcCZQF	Erythrocyte1
S3_bcCZRV	FLB4
S3_bcCZSK	BasalWE
S3_bcCZTS	FLB5
S3_bcCZUC	FLB5
S3_bcCZWG	Macrophage
S3_bcCZWP	FLB5
S3_bcDAIF	FLB5
S3_bcDAKM	FLB5
S3_bcDAVE	FLB5
S3_bcDAYE	BasalWE
S3_bcDAYL	Erythrocyte1
S3_bcDBGL	FLB4
S3_bcDBNU	FLB3
S3_bcDBNZ	FLB5
S3_bcDBPY	Macrophage
S3_bcDBXR	EarlyB
S3_bcDCDG	FLB3
S3_bcDCIY	FLB5
S3_bcDCQV	Endothelial
S3_bcDCRN	Erythrocyte1
S3_bcDDAK	Macrophage
S3_bcDDAX	FLB5
S3_bcDDGY	FLB5
S3_bcDDHN	EarlyB
S3_bcDDKU	FLB4
S3_bcDDKX	Tcell
S3_bcDDSV	MyogenicBlastema
S3_bcDDZB	FLB5
S3_bcDEBX	Tcell
S3_bcDECL	EarlyB
S3_bcDEEL	FLB5
S3_bcDEGE	Erythrocyte1
S3_bcDEIT	Macrophage
S3_bcDEKH	FLB4
S3_bcDEMR	Erythrocyte1
S3_bcDEWS	MyogenicBlastema
S3_bcDFBP	Endothelial
S3_bcDFIF	Macrophage
S3_bcDFJJ	FLB4
S3_bcDFMD	Macrophage
S3_bcDFMP	Macrophage
S3_bcDFOW	FLB5
S3_bcDFPB	Macrophage
S3_bcDFUT	FLB5
S3_bcDFVZ	BasalWE
S3_bcDGBJ	Tcell
S3_bcDGFW	FLB4
S3_bcDGJU	Tenocyte
S3_bcDGKC	FLB4
S3_bcDGSL	MyogenicBlastema
S3_bcDGYG	FLB4
S3_bcDHAD	FLB4
S3_bcDHEB	Macrophage
S3_bcDHEI	Macrophage
S3_bcDHLA	BasalWE
S3_bcDHNU	FLB4
S3_bcDHSJ	Macrophage
S3_bcDHZP	Macrophage
S3_bcDIAA	EarlyB
S3_bcDILG	FLB5
S3_bcDIOJ	FLB5
S3_bcDIRG	FLB5
S3_bcDISR	Macrophage
S3_bcDIUD	FLB4
S3_bcDIZR	FLB4
S3_bcDJBX	FLB4
S3_bcDJCP	Macrophage
S3_bcDJFK	FLB5
S3_bcDJHM	Tcell
S3_bcDJNM	Macrophage
S3_bcDJRY	BasalWE
S3_bcDJTU	FLB4
S3_bcDKCM	MyogenicBlastema
S3_bcDKER	Endothelial
S3_bcDKFK	Macrophage
S3_bcDKKK	FLB5
S3_bcDKMX	MyogenicBlastema
S3_bcDKNZ	BasalWE
S3_bcDKQY	Macrophage
S3_bcDKVI	FLB4
S3_bcDLJQ	Macrophage
S3_bcDLMN	FLB5
S3_bcDLQG	FLB3
S3_bcDLTR	Erythrocyte1
S3_bcDLWZ	Tcell
S3_bcDMFR	FLB4
S3_bcDMKL	Macrophage
S3_bcDMPP	Macrophage
S3_bcDMTX	Macrophage
S3_bcDMXW	FLB3
S3_bcDNFW	Macrophage
S3_bcDNTS	FLB4
S3_bcDNUA	Erythrocyte1
S3_bcDNVC	FLB4
S3_bcDNYS	Erythrocyte1
S3_bcDOBM	Macrophage
S3_bcDOFU	FLB5
S3_bcDOHL	Macrophage
S3_bcDOID	Macrophage
S3_bcDOPZ	Tenocyte
S3_bcDOQF	FLB5
S3_bcDOWS	Macrophage
S3_bcDOZY	Macrophage
S3_bcDPBZ	Macrophage
S3_bcDPFU	FLB4
S3_bcDPJH	Macrophage
S3_bcDPQQ	Macrophage
S3_bcDPSR	FLB4
S3_bcDPVJ	Macrophage
S3_bcDQBW	Erythrocyte1
S3_bcDQGW	FLB3
S3_bcDQSI	FLB4
S3_bcDQWF	FLB3
S3_bcDRDJ	Macrophage
S3_bcDRHT	FLB5
S3_bcDRJR	Macrophage
S3_bcDRLG	FLB5
S3_bcDRMU	Endothelial
S3_bcDRVC	EarlyB
S3_bcDRZE	Macrophage
S3_bcDSDJ	FLB4
S3_bcDSGX	Macrophage
S3_bcDSJH	Macrophage
S3_bcDSJN	Tenocyte
S3_bcDSRJ	FLB4
