cell	Cell_type
S1_bcBKUC	Erythrocyte
S1_bcBKUP	Erythrocyte
S1_bcBLBY	Erythrocyte
S1_bcBLCM	Erythrocyte
S1_bcBLEX	FLB9
S1_bcBLFO	Erythrocyte
S1_bcBLIZ	Erythrocyte
S1_bcBLNR	FLB7
S1_bcBLOC	Erythrocyte
S1_bcBLQE	Erythrocyte
S1_bcBLYE	Erythrocyte
S1_bcBMAH	Erythrocyte
S1_bcBMFT	IW5
S1_bcBMHR	Erythrocyte
S1_bcBMVF	Tcells
S1_bcBMVJ	Erythrocyte
S1_bcBNAA	BasalWE2
S1_bcBNAT	Erythrocyte
S1_bcBNCE	Erythrocyte
S1_bcBNFL	Erythrocyte
S1_bcBNFW	Erythrocyte
S1_bcBNHD	Erythrocyte
S1_bcBNKL	IW5
S1_bcBNKQ	FLB9
S1_bcBNMB	Erythrocyte
S1_bcBNNF	Erythrocyte
S1_bcBNNP	FLB7
S1_bcBNOE	IW5
S1_bcBNOG	Erythrocyte
S1_bcBNOU	Erythrocyte
S1_bcBNQH	Erythrocyte
S1_bcBNSK	Erythrocyte
S1_bcBNVL	FLB7
S1_bcBOAA	Erythrocyte
S1_bcBOCF	Erythrocyte
S1_bcBOGO	Erythrocyte
S1_bcBOMU	Macrophage
S1_bcBOOS	Erythrocyte
S1_bcBOOY	Erythrocyte
S1_bcBOQP	FLB7
S1_bcBOTZ	Erythrocyte
S1_bcBOZU	Erythrocyte
S1_bcBPCJ	Erythrocyte
S1_bcBPLA	Erythrocyte
S1_bcBPMB	Erythrocyte
S1_bcBPMO	Erythrocyte
S1_bcBPYD	BasalWE2
S1_bcBQAN	Erythrocyte
S1_bcBQAO	Erythrocyte
S1_bcBQCW	Tcells
S1_bcBQHG	FLB7
S1_bcBQJF	FLB7
S1_bcBQKF	Erythrocyte
S1_bcBQOM	Erythrocyte
S1_bcBQQO	FLB7
S1_bcBQXM	Neutrophil
S1_bcBRBM	Erythrocyte
S1_bcBRFW	Erythrocyte
S1_bcBRIU	Erythrocyte
S1_bcBRIX	Erythrocyte
S1_bcBRKX	IW4
S1_bcBRPI	Erythrocyte
S1_bcBSCD	Erythrocyte
S1_bcBSIS	FLB9
S1_bcBSKZ	Erythrocyte
S1_bcBSOV	Erythrocyte
S1_bcBSRR	Erythrocyte
S1_bcBSSB	BasalWE1
S1_bcBSUK	Erythrocyte
S1_bcBSVV	Erythrocyte
S1_bcBTII	Erythrocyte
S1_bcBTJK	Erythrocyte
S1_bcBTNX	Erythrocyte
S1_bcBTRB	Erythrocyte
S1_bcBTXI	Erythrocyte
S1_bcBTYH	Erythrocyte
S1_bcBTYN	IW4
S1_bcBTZJ	IW5
S1_bcBUHD	Erythrocyte
S1_bcBUJA	Erythrocyte
S1_bcBUKN	BasalWE2
S1_bcBUWZ	Erythrocyte
S1_bcBUYF	Erythrocyte
S1_bcBVBO	Erythrocyte
S1_bcBVDR	Erythrocyte
S1_bcBVIK	FLB7
S1_bcBVJF	IW5
S1_bcBVRB	Erythrocyte
S1_bcBVTV	IW4
S1_bcBVWX	Erythrocyte
S1_bcBWBS	Erythrocyte
S1_bcBWCP	Erythrocyte
S1_bcBWFD	Erythrocyte
S1_bcBWFK	IW5
S1_bcBWMX	Erythrocyte
S1_bcBWNV	IW5
S1_bcBWOV	Tcells
S1_bcBWPS	Erythrocyte
S1_bcBXAA	Erythrocyte
S1_bcBXJE	Erythrocyte
S1_bcBXJH	Macrophage
S1_bcBXMS	IW5
S1_bcBXNZ	IW5
S1_bcBXOC	Erythrocyte
S1_bcBXOU	Erythrocyte
S1_bcBXPP	Erythrocyte
S1_bcBXRH	FLB7
S1_bcBXUA	Erythrocyte
S1_bcBXYC	Erythrocyte
S1_bcBYEK	Erythrocyte
S1_bcBYGX	Erythrocyte
S1_bcBYHM	Erythrocyte
S1_bcBYPA	IW5
S1_bcBYQZ	Erythrocyte
S1_bcBYTW	Erythrocyte
S1_bcBYVU	IW5
S1_bcBYVY	Erythrocyte
S1_bcBYWQ	Erythrocyte
S1_bcBYZL	Schwann
S1_bcBYZZ	Erythrocyte
S1_bcBZAI	Erythrocyte
S1_bcBZCU	IW5
S1_bcBZEZ	IW4
S1_bcBZFC	Erythrocyte
S1_bcBZFY	Erythrocyte
S1_bcBZJR	Erythrocyte
S1_bcBZQA	Erythrocyte
S1_bcBZRI	IW5
S1_bcBZVH	Erythrocyte
S1_bcCABC	IW5
S1_bcCAEK	Erythrocyte
S1_bcCAHT	Erythrocyte
S1_bcCAIC	Erythrocyte
S1_bcCANJ	Erythrocyte
S1_bcCAPE	Erythrocyte
S1_bcCAQD	Erythrocyte
S1_bcCATO	Erythrocyte
S1_bcCATU	FLB7
S1_bcCAUH	Tcells
S1_bcCAVL	IW4
S1_bcCAVR	IW4
S1_bcCAYE	Tcells
S1_bcCBAD	IW5
S1_bcCBAP	IW5
S1_bcCBEE	Erythrocyte
S1_bcCBKS	Erythrocyte
S1_bcCBKV	IW5
S1_bcCBOF	Erythrocyte
S1_bcCBOG	Erythrocyte
S1_bcCBRA	Erythrocyte
S1_bcCBSP	Erythrocyte
S1_bcCBVJ	Erythrocyte
S1_bcCCDE	Erythrocyte
S1_bcCCDQ	Erythrocyte
S1_bcCCOY	Erythrocyte
S1_bcCCPM	Erythrocyte
S1_bcCCTW	Erythrocyte
S1_bcCCYV	Erythrocyte
S1_bcCDMD	Erythrocyte
S1_bcCDSF	Erythrocyte
S1_bcCDWT	Erythrocyte
S1_bcCEAQ	Erythrocyte
S1_bcCECB	Erythrocyte
S1_bcCECV	Erythrocyte
S1_bcCEFA	FLB7
S1_bcCEHT	Erythrocyte
S1_bcCEKE	Erythrocyte
S1_bcCELF	FLB7
S1_bcCEQO	BasalWE2
S1_bcCETD	IW5
S1_bcCETM	Erythrocyte
S1_bcCEUL	Macrophage
S1_bcCEXV	Erythrocyte
S1_bcCFAG	IW5
S1_bcCFBR	Erythrocyte
S1_bcCFCT	Erythrocyte
S1_bcCFLU	Erythrocyte
S1_bcCFSN	FLB9
S1_bcCFTH	IW5
S1_bcCFWI	Erythrocyte
S1_bcCFXU	Erythrocyte
S1_bcCGCB	Erythrocyte
S1_bcCGJL	Erythrocyte
S1_bcCGMD	IW5
S1_bcCGOI	Erythrocyte
S1_bcCGSA	Erythrocyte
S1_bcCGTU	Erythrocyte
S1_bcCHCZ	FLB7
S1_bcCHDL	Erythrocyte
S1_bcCHFM	Erythrocyte
S1_bcCHHW	Erythrocyte
S1_bcCHKS	Erythrocyte
S1_bcCHRL	Erythrocyte
S1_bcCHSM	FLB7
S1_bcCHUJ	Erythrocyte
S1_bcCHVH	Macrophage
S1_bcCHVL	Erythrocyte
S1_bcCHXX	Erythrocyte
S1_bcCHZR	Erythrocyte
S1_bcCICY	Erythrocyte
S1_bcCIFF	Erythrocyte
S1_bcCIIP	Erythrocyte
S1_bcCILP	IW5
S1_bcCISB	IW5
S1_bcCISE	Erythrocyte
S1_bcCISK	Erythrocyte
S1_bcCIVP	IW5
S1_bcCIXC	IW5
S1_bcCJCV	BasalWE2
S1_bcCJDF	Erythrocyte
S1_bcCJDO	Erythrocyte
S1_bcCJIE	Erythrocyte
S1_bcCJIS	Erythrocyte
S1_bcCJJG	Erythrocyte
S1_bcCJMA	Erythrocyte
S1_bcCJQZ	Erythrocyte
S1_bcCKDD	FLB7
S1_bcCKIC	IW5
S1_bcCKJT	Erythrocyte
S1_bcCKPM	Tcells
S1_bcCKRJ	Erythrocyte
S1_bcCKWH	Erythrocyte
S1_bcCKXX	IW4
S1_bcCLAE	Erythrocyte
S1_bcCLAV	Erythrocyte
S1_bcCLDS	FLB7
S1_bcCLFL	FLB9
S1_bcCLGG	IW5
S1_bcCLIE	Erythrocyte
S1_bcCLIQ	Erythrocyte
S1_bcCLKV	IW4
S1_bcCLQC	Erythrocyte
S1_bcCLXE	Erythrocyte
S1_bcCMEV	Erythrocyte
S1_bcCMIQ	Erythrocyte
S1_bcCMKY	Erythrocyte
S1_bcCMLY	Erythrocyte
S1_bcCMNF	Erythrocyte
S1_bcCMUP	FLB9
S1_bcCMWV	Erythrocyte
S1_bcCMXH	IW4
S1_bcCNBL	Erythrocyte
S1_bcCNEQ	Erythrocyte
S1_bcCNFU	Erythrocyte
S1_bcCNFY	Erythrocyte
S1_bcCNJT	Erythrocyte
S1_bcCNKL	Erythrocyte
S1_bcCNLH	BasalWE2
S1_bcCNNN	Erythrocyte
S1_bcCNOO	IW4
S1_bcCNQT	Erythrocyte
S1_bcCNRB	IW5
S1_bcCNSD	Erythrocyte
S1_bcCNST	IW5
S1_bcCNTA	Tcells
S1_bcCNTB	IW5
S1_bcCNXB	Erythrocyte
S1_bcCOBF	Erythrocyte
S1_bcCOEH	Bcells
S1_bcCOGC	IW5
S1_bcCOGR	Erythrocyte
S1_bcCOKO	Erythrocyte
S1_bcCOMF	Erythrocyte
S1_bcCOOE	Erythrocyte
S1_bcCOOT	Erythrocyte
S1_bcCOPO	FLB9
S1_bcCOYT	Erythrocyte
S1_bcCPAC	FLB7
S1_bcCPCD	Erythrocyte
S1_bcCPCP	Erythrocyte
S1_bcCPPR	Erythrocyte
S1_bcCPQE	Erythrocyte
S1_bcCPRX	Erythrocyte
S1_bcCPVP	Erythrocyte
S1_bcCPXC	Erythrocyte
S1_bcCPXF	FLB7
S1_bcCPXW	IW4
S1_bcCPYH	FLB7
S1_bcCPZF	Erythrocyte
S1_bcCQER	FLB7
S1_bcCQGG	Erythrocyte
S1_bcCQRQ	Erythrocyte
S1_bcCQSL	Erythrocyte
S1_bcCQWH	Erythrocyte
S1_bcCRHS	FLB7
S1_bcCRIA	Erythrocyte
S1_bcCRLN	Erythrocyte
S1_bcCROH	IW5
